class_name,class_value,model_index
GMC Savana Van 2012,119,22
GMC Yukon Hybrid SUV 2012,120,24
GMC Acadia SUV 2012,121,25
GMC Canyon Extended Cab 2012,122,26
Geo Metro Convertible 1993,123,27
HUMMER H3T Crew Cab 2010,124,28
HUMMER H2 SUT Crew Cab 2009,125,29
Honda Odyssey Minivan 2012,126,30
Honda Odyssey Minivan 2007,127,31
Honda Accord Coupe 2012,128,32
Honda Accord Sedan 2012,129,33
Hyundai Veloster Hatchback 2012,130,35
Hyundai Santa Fe SUV 2012,131,36
Hyundai Tucson SUV 2012,132,37
Hyundai Veracruz SUV 2012,133,38
Hyundai Sonata Hybrid Sedan 2012,134,39
Hyundai Elantra Sedan 2007,135,40
Hyundai Accent Sedan 2012,136,41
Hyundai Genesis Sedan 2012,137,42
Hyundai Sonata Sedan 2012,138,43
Hyundai Elantra Touring Hatchback 2012,139,44
Hyundai Azera Sedan 2012,140,46
Infiniti G Coupe IPL 2012,141,47
Infiniti QX56 SUV 2011,142,48
Isuzu Ascender SUV 2008,143,49
Jaguar XK XKR 2012,144,50
Jeep Patriot SUV 2012,145,51
Jeep Wrangler SUV 2012,146,52
Jeep Liberty SUV 2012,147,53
Jeep Grand Cherokee SUV 2012,148,54
Jeep Compass SUV 2012,149,55
Lamborghini Reventon Coupe 2008,150,57
Lamborghini Aventador Coupe 2012,151,58
Lamborghini Gallardo LP 570-4 Superleggera 2012,152,59
Lamborghini Diablo Coupe 2001,153,60
Land Rover Range Rover SUV 2012,154,61
Land Rover LR2 SUV 2012,155,62
Lincoln Town Car Sedan 2011,156,63
MINI Cooper Roadster Convertible 2012,157,64
Maybach Landaulet Convertible 2012,158,65
Mazda Tribute SUV 2011,159,66
McLaren MP4-12C Coupe 2012,160,68
Mercedes-Benz 300-Class Convertible 1993,161,69
Mercedes-Benz C-Class Sedan 2012,162,70
Mercedes-Benz SL-Class Coupe 2009,163,71
Mercedes-Benz E-Class Sedan 2012,164,72
Mercedes-Benz S-Class Sedan 2012,165,73
Mercedes-Benz Sprinter Van 2012,166,74
Mitsubishi Lancer Sedan 2012,167,75
Nissan Leaf Hatchback 2012,168,76
Nissan NV Passenger Van 2012,169,77
Nissan Juke Hatchback 2012,170,79
Nissan 240SX Coupe 1998,171,80
Plymouth Neon Coupe 1999,172,81
Porsche Panamera Sedan 2012,173,82
Ram C/V Cargo Van Minivan 2012,174,83
Rolls-Royce Phantom Drophead Coupe Convertible 2012,175,84
Rolls-Royce Ghost Sedan 2012,176,85
Rolls-Royce Phantom Sedan 2012,177,86
Scion xD Hatchback 2012,178,87
Spyker C8 Convertible 2009,179,88
Spyker C8 Coupe 2009,180,90
Suzuki Aerio Sedan 2007,181,91
Suzuki Kizashi Sedan 2012,182,92
Suzuki SX4 Hatchback 2012,183,93
Suzuki SX4 Sedan 2012,184,94
Tesla Model S Sedan 2012,185,95
Toyota Sequoia SUV 2012,186,96
Toyota Camry Sedan 2012,187,97
Toyota Corolla Sedan 2012,188,98
Toyota 4Runner SUV 2012,189,99
Volkswagen Golf Hatchback 2012,190,101
Volkswagen Golf Hatchback 1991,191,102
Volkswagen Beetle Hatchback 2012,192,103
Volvo C30 Hatchback 2012,193,104
Volvo 240 Sedan 1993,194,105
Volvo XC90 SUV 2007,195,106
smart fortwo Convertible 2012,196,107
